"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1108949","Jimmy  Or","","","","A Control System for a Flexible Spine Belly-Dancing Humanoid","63--87","","25","","10.1162/106454606775186464","Artif. Life","January 2006","12","1","","January","2006","1064-5462","","","","","","MIT Press","Cambridge, MA, USA"
"article","2334894","Jimmy  Or","","","","Computer Simulations of a Humanoid Robot Capable of Walking Like Fashion Models","241--248","","8","","10.1109/TSMCC.2011.2115238","Trans. Sys. Man Cyber Part C","March 2012","42","2","","March","2012","1094-6977","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1246438","Jimmy  Or","","","","Robustness of Connectionist Swimming Controllers Against Random Variation in Neural Connections","1568--1588","","21","","10.1162/neco.2007.19.6.1568","Neural Comput.","June 2007","19","6","","June","2007","0899-7667","","","","","","MIT Press","Cambridge, MA, USA"
"phdthesis","337211","Siu Hang Or","","","","","","","","","","","","","","","","1998","","From Images to Motion","","","","","The Chinese University of Hong Kong","The Chinese University of Hong Kong, USA"
"article","1656821","Jimmy  Or","","","","A Hybrid CPG-ZMP Controller for the Real-time Balance of a Simulated Flexible Spine Humanoid Robot","547--561","","15","Balancing, balancing, flexible spine, humanoid robot","10.1109/TSMCC.2009.2020993","Trans. Sys. Man Cyber Part C","September 2009","39","5","","September","2009","1094-6977","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1274629","Yizhar  Or and Elon  Rimon","","","","Computation and Graphical Characterization of Robust Multiple-Contact Postures in Two-Dimensional Gravitational Environments","1071--1086","","16","frictional contact, legged locomotion, robust equilibrium stances","10.1177/0278364906072038","Int. J. Rob. Res.","November  2006","25","11","","November","2006","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1750102","Jimmy  Or","","","","A Hybrid CPG-ZMP Control System for Stable Walking of a Simulated Flexible Spine Humanoid Robot","452--460","","9","Biped walking robot, Central pattern generator, Flexible spine humanoid robot, Zero moment point","10.1016/j.neunet.2009.11.003","Neural Netw.","April, 2010","23","3","","April","2010","0893-6080","","","","","","Elsevier Science Ltd.","Oxford, UK, UK"
"article","3046767","Emiliya  Gutman and Yizhar  Or","","","","Symmetries and Gaits for Purcell&#x0027;s Three-Link Microswimmer Model","53--69","","17","","10.1109/TRO.2015.2500442","Trans. Rob.","February 2016","32","1","","February","2016","1552-3098","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1704796","Yizhar  Or and Elon  Rimon","","","","Analytic Characterization of a Class of Three-contact Frictional Equilibrium Postures in Three-dimensional Gravitational Environments","3--22","","20","frictional equilibrium, legged locomotion, line geometry","10.1177/0278364909347783","Int. J. Rob. Res.","January   2010","29","1","","January","2010","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"book","521543","James L. Fuller","","","","","","","","","","","","","","","","1998","","Robotics","","2nd","0130955434","","Prentice Hall PTR","Upper Saddle River, NJ, USA"
"book","3036078","John M. Jordan","","","","","","","","","","","","","","","","2016","","Robots","","1st","0262529505, 9780262529501","","The MIT Press",""
"article","773425","Jimmy  Or and John  Hallam and David  Willshaw and Auke  Ijspeert","","","","Evolution of Efficient Swimming Controllers for a Simulated Lamprey","323--332","","10","","","","","","","","","2002","","Proceedings of the Seventh International Conference on Simulation of Adaptive Behavior on From Animals to Animats","ICSAB","","0-262-58217-1","","MIT Press","Cambridge, MA, USA"
"article","2354333","Or  Meir","","","","Combinatorial PCPs with Short Proofs","345--355","","11","Computational and artificial intelligence, Computational intelligence, Computation theory, Computational complexity","10.1109/CCC.2012.14","","","","","","","2012","","Proceedings of the 2012 IEEE Conference on Computational Complexity (CCC)","CCC '12","","978-0-7695-4708-4","","IEEE Computer Society","Washington, DC, USA"
"book","518711","CORPORATE  IEEE, Robotics and Automation Society Staff","","","","","","","","","","","","","","","","2000","","Intelligent Robots and Systems, 1999 IEEE/Rsi International Conference On","","","0780351851","","IEEE Standards Office","New York, NY, USA"
"article","1165976","Vincent G. Duffy and Calvin K. L. Or and Vivian W. M. Lau","","","","Perception of Safe Robot Speed in Virtual and Real Industrial Environments: Research Articles","369--383","","15","","10.1002/hfm.v16:4","Hum. Factor. Ergon. Manuf.","September 2006","16","4","","September","2006","1090-8471","","","","","","John Wiley and Sons Ltd.","Chichester, UK"
"article","1374419","Or  Meir","","","","Combinatorial Construction of Locally Testable Codes","285--294","","10","locally testable codes, pcps of proximity, probabilistically checkable proofs","10.1145/1374376.1374419","","","","","","","2008","","Proceedings of the Fortieth Annual ACM Symposium on Theory of Computing","STOC '08","","978-1-60558-047-0","Victoria, British Columbia, Canada","ACM","New York, NY, USA"
"article","1654895","Or  Meir","","","","Combinatorial Construction of Locally Testable Codes","491--544","","54","PCPs of proximity (PCPPs), locally testable codes (LTCs), probabilistically checkable proofs (PCPs)","10.1137/080729967","SIAM J. Comput.","June 2009","39","2","","July","2009","0097-5397","","","","","","Society for Industrial and Applied Mathematics","Philadelphia, PA, USA"
"article","2664040","Or  Meir","","","","Combinatorial PCPs with Efficient Verifiers","355--478","","124","68Q01, PCP, PCP of Proximity, combinatorial, probabilistically checkable proofs","10.1007/s00037-014-0080-5","Comput. Complex.","September 2014","23","3","","September","2014","1016-3328","","","","","","Birkhauser Verlag","Basel, Switzerland, Switzerland"
"article","3028196","O.  Litany and E.  Rodol&#237; and A. M.  Bronstein and M. M.  Bronstein and D.  Cremers","","","","Non-Rigid Puzzles","135--143","","9","Categories and Subject Descriptors according to ACM CCS, I.3.5 [Computer Graphics]: Computational Geometry and Object Modeling-Shape Analysis","10.1111/cgf.12970","Comput. Graph. Forum","August 2016","35","5","","August","2016","0167-7055","","","","","","The Eurographs Association &#38; John Wiley &#38; Sons, Ltd.","Chichester, UK"
"article","2109578","Or  Meir","","","","On the Rectangle Method in Proofs of Robustness of Tensor Products","257--260","","4","LTC, Locally testable codes, Product code, Robust, Robustness, Tensor product, Theory of computation","10.1016/j.ipl.2011.11.007","Inf. Process. Lett.","March, 2012","112","6","","March","2012","0020-0190","","","","","","Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
"book","1508122","Ramon E.  Moore and R. Baker  Kearfott and Michael J.  Cloud","","","","","","","","","","","","","","","","2009","","Introduction to Interval Analysis","","","0898716691, 9780898716696","","Society for Industrial and Applied Mathematics","Philadelphia, PA, USA"
"article","2893651","Or  Meir","","","","Combinatorial PCPs with Short Proofs","1--102","","102","68Q01, PCP of Proximity, Probabilistically Checkable Proof (PCP), combinatorial PCP","10.1007/s00037-015-0111-x","Comput. Complex.","March     2016","25","1","","March","2016","1016-3328","","","","","","Birkhauser Verlag","Basel, Switzerland, Switzerland"
"article","3068253","Or  Litany and Tal  Remez and Daniel  Freedman and Lior  Shapira and Alex  Bronstein and Ran  Gal","","","","ASIST","284--299","","16","Alternating minimization, Iterative closest point, Object recognition, Pose estimation, Random forest, Registration, Semantic segmentation","10.1016/j.cviu.2016.08.002","Comput. Vis. Image Underst.","April 2017","157","C","","April","2017","1077-3142","","","","","","Elsevier Science Inc.","New York, NY, USA"
"article","1748062","Or  Meir","","","","Combinatorial PCPs with Efficient Verifiers","463--471","","9","PCP, PCPP, PCP of Proximity, super-fast","10.1109/FOCS.2009.10","","","","","","","2009","","Proceedings of the 2009 50th Annual IEEE Symposium on Foundations of Computer Science","FOCS '09","","978-0-7695-3850-1","","IEEE Computer Society","Washington, DC, USA"
