"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.cloud+robotics.RB.+and+.LB.cloud+computing.RB.",2017/05/03 14:24:04
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Cloud Computing and Robotics for Disaster Management","N. Jangid; B. Sharma","Inf. Technol. Dept., Green Res. IT Solutions Pvt. Ltd., Jaipur, India","2016 7th International Conference on Intelligent Systems, Modelling and Simulation (ISMS)","20170316","2016","","","20","24","Nowadays, IT community is experiencing great shift in computing and information storage infrastructures by using powerful, flexible and reliable alternative of cloud computing. The power of cloud computing may also be realized for mankind if some dedicated disaster management clouds will be developed at various countries cooperating each other on some common standards. The experimentation and deployment of cloud computing by governments of various countries for mankind may be the justified use of IT at social level. It is possible to realize a real-time disaster management cloud where applications in cloud will respond within a specified time frame. If a Real-Time Cloud (RTC) is available then for intelligent machines like robots the complex processing may be done on RTC via request and response model. The complex processing is more desirable as level of intelligence increases in robots towards humans even more. Therefore, it may be possible to manage disaster sites more efficiently with more intelligent cloud robots without great lose of human lives waiting for various assistance at disaster site. Real-time garbage collector, real-time specification for Java, multicore CPU architecture with network-on-chip, parallel algorithms, distributed algorithms, high performance database systems, high performance web servers and gigabit networking can be used to develop real-time applications in cloud.","2166-0670;21660670","Electronic:978-1-5090-0665-6; POD:978-1-5090-0666-3","10.1109/ISMS.2016.45","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877182","Cloud Robotics;Network on Chip(NoC);Real-Time Cloud (RTC);Real-Time Garbage Collector;Real-Time Specification for Java (RTSJ)","Cloud computing;Hardware;Java;Multicore processing;Operating systems;Real-time systems;Robots","Java;cloud computing;emergency management;humanoid robots;multiprocessing systems;network-on-chip;rescue robots","IT usage;Java;RTC;cloud computing;disaster management clouds;distributed algorithms;gigabit networking;high-performance Web servers;high-performance database systems;information storage infrastructures;intelligent cloud robots;intelligent machines;multicore CPU architecture;network-on-chip;parallel algorithms;real-time disaster management cloud;real-time garbage collector","","","","","","","25-27 Jan. 2016","","IEEE","IEEE Conference Publications"
"Use of cloud computing platforms towards robotics applications","R. Doriy; S. K. Prasad; P. Sablani","Department of Information Technology, National Institute of Technology, Raipur, India","2016 IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","20170109","2016","","","1577","1583","With the recent advancements in the field of robotics and cloud computing, one technology backing the other can have a huge potential under the domain of Cloud Robotics. Majority of systems are still operating independently using on-board computation, and confined memory and storage. Cloud Computing is a promising technology which is intended to harness the power of networked computers and communication system in a more cost effective way. There is a wide gap in Cloud Computing technology and robotics technology. Generally, the robots cannot use the Cloud Computing instance directly. Moreover, there are many Cloud Computing platforms are present around, deciding which one to use when is still an issue. In this paper we take a look at some prominent open source cloud solutions and evaluate and compare the stability, performance and features of these clouds keeping the key requirements of cloud robotics under consideration.","","Electronic:978-1-5090-0774-5; POD:978-1-5090-0775-2","10.1109/RTEICT.2016.7808098","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7808098","Cloud Computing;Cloud Robotics;CloudStack;OpenNebula;OpenStack","Cloud computing;Computer architecture;Conferences;Databases;Market research;Robots","cloud computing;control engineering computing;public domain software;robots;storage management","cloud computing;cloud robotics;memory;on-board computation;open source;storage","","","","","","","20-21 May 2016","","IEEE","IEEE Conference Publications"
"Panorama of real-life applications in logistics embedding bin packing optimization algorithms, robotics and cloud computing technologies","A. Aggoun; A. Rhiat; F. Fages","KLS OPTIM, 53, rue des Casseaux, 91140 Villebon sur Yvette, France","2016 3rd International Conference on Logistics Operations Management (GOL)","20161103","2016","","","1","4","In this paper, we are interested in one hand to review a set of problems encountered in logistics, and in a second hand to highlight the contribution of Constraint Programming, Metaheuristics and numerical solvers using non-linear inequalities in solving them. One of the objectives is to address a panorama of bin packing applications in logistics and their embedding in cloud computing.","","","10.1109/GOL.2016.7731693","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7731693","Bin Packing;Cloud Computing;Constraint Programming;IOT;Metaheuristics;Operational Logistics;Optimization;RFID;Robotics","Cloud computing;Containers;Optimization;Programming;Robots;Shape;Vehicles","bin packing;cloud computing;constraint handling;industrial control;industrial robots;logistics;optimisation;production engineering computing","bin packing optimization algorithms;cloud computing;constraint programming;logistics;metaheuristics;nonlinear inequalities;numerical solvers;robotics","","","","","","","23-25 May 2016","","IEEE","IEEE Conference Publications"
"Stochastic path optimization for robotic bees using cloud computing","F. Vázquez-Abad; S. Bernabel","Department of Computer Science, Hunter College and CUNY Institute for Computer Simulation, Stochastic Modeling and Optimization (CoSSMO), New York, United States","2016 13th International Workshop on Discrete Event Systems (WODES)","20160623","2016","","","135","140","We study the problem of dynamic routing of robotic bees towards the hive, with the intended purpose of minimizing the time it takes for all the bees to arrive at the destination. Due to uncertainty in position measurements, the stochastic problem cannot ensure collision-free paths. We study the effects that the algorithm parameters have in reducing the computational complexity and expected number of collisions. The dynamic path allocation assumes signals are received every ε units of time. We provide a weak convergence proof that the stochastic dynamic allocation converges to the optimal deterministic path when ε → 0. Next we explore via experimentation how the various algorithm parameters affect the overall performance. A k-nearest neighbors strategy is implemented to lessen the need for small step size ε and safety parameter. Δ. In this manner we achieve a faster completion time, reduce collisions and computational complexity.","","Electronic:978-1-5090-4190-9; POD:978-1-5090-4191-6","10.1109/WODES.2016.7497838","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7497838","","Clustering algorithms;Collision avoidance;Optimization;Resource management;Robots;Safety;Stochastic processes","cloud computing;collision avoidance;computational complexity;control engineering computing;mobile robots;stochastic programming","cloud computing;collision-free paths;computational complexity;dynamic path allocation;dynamic routing;k-nearest neighbors strategy;optimal deterministic path;position measurements;robotic bees;stochastic dynamic allocation;stochastic path optimization;stochastic problem;time minimization;weak convergence proof","","","","9","","","May 30 2016-June 1 2016","","IEEE","IEEE Conference Publications"
"Cloud computing architectures for mobile robotics","A. A. Dyumin; L. A. Puzikov; M. M. Rovnyagin; G. A. Urvanov; I. V. Chugunkov","National Research Nuclear University &#x201C;MEPhI&#x201D;, Moscow, Russian Federation","2015 IEEE NW Russia Young Researchers in Electrical and Electronic Engineering Conference (EIConRusNW)","20150507","2015","","","65","70","In last decade, classic IT-infrastructures in modern enterprises have been changed sufficiently by cloud computing. However, cloud approach can be used effectively in other applications. In this paper, we explore applicability of cloud paradigm in mobile robotics. First approach is using some classic cloud architectures, such as Infrastructure-as-a-Service, Platform-as-a-Service and Software-as-a-Service, with heterogeneous distributed mobile robotic system - for example, it can be used to offload a time consuming computations from mobile platforms to remote nodes or services. Second approach is using some special “robotic” types of clouds, such as Robot-as-a-Service and Function-as-a-Service to leverage abilities of a single robotics platform in mobile robotic system as services to robotic system's users or other mobile robotic platforms. We explore both approaches and give them some architectural examples.","","Electronic:978-1-4799-7306-4; POD:978-1-4799-7307-1","10.1109/EIConRusNW.2015.7102233","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7102233","cloud computing;cloud robotics;mobile robotics;software architectures","Computer architecture;FAA;Quality of service;Robots;Semiconductor optical amplifiers;Software as a service","cloud computing;control engineering computing;mobile robots","cloud architectures;cloud computing architectures;function-as-a-service;heterogeneous distributed mobile robotic system;infrastructure-as-a-service;platform-as-a-service;robot-as-aservice;software-as-a-service","","3","","34","","","2-4 Feb. 2015","","IEEE","IEEE Conference Publications"
"An infrastructure for robotic applications as cloud computing services","C. Mouradian; F. Z. Errounda; F. Belqasmi; R. Glitho","Concordia Univ., Montreal, QC, Canada","2014 IEEE World Forum on Internet of Things (WF-IoT)","20140424","2014","","","377","382","Robotic applications are becoming ubiquitous. They are widely used in several areas (e.g., healthcare, disaster management, and manufacturing). However, their provisioning still faces several challenges such as cost and resource usage efficiency. Cloud computing is an emerging paradigm that may aid in tackling these challenges. It has three main facets: Infrastructure as a Service (IaaS), Platform as a Service (PaaS) and Software as a Service (SaaS). This paper focuses on the IaaS aspects of robotic applications as cloud computing services. It proposes an architecture that enables cost efficiency through virtualization and dynamic task delegation to robots, including robots that might belong to other clouds. Overlays and RESTful Web services are used as cornerstones. A prototype is built using LEGO Mindstorms NXT as the robotic platform, and JXTA as the overlay middleware. Related work is reviewed, the functional entities and interfaces of the architecture are described, and the prototype architecture is presented along with the implemented scenario.","","Electronic:978-1-4799-3459-1; POD:978-1-4799-5071-3; USB:978-1-4799-3460-7","10.1109/WF-IoT.2014.6803195","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6803195","Infrastructure as a Service (IaaS);Robotic applications;cloud computing;task allocation;task delegation","Cloud computing;Computer architecture;Engines;Logic gates;Robot sensing systems;Virtualization","Web services;cloud computing;control engineering computing;middleware;robots;ubiquitous computing","IaaS;JXTA;LEGO Mindstorms NXT;PaaS;RESTful Web services;SaaS;cloud computing services;cost efficiency;disaster management;dynamic task delegation;healthcare;infrastructure as a service;manufacturing;overlay middleware;platform as a service;resource usage efficiency;robotic platform;software as a service;ubiquitous robotic applications;virtualization","","4","","18","","","6-8 March 2014","","IEEE","IEEE Conference Publications"
"Robotic Services in Cloud Computing Paradigm","R. Doriya; P. Chakraborty; G. C. Nandi","Robot. & Artificial Intell. Lab., Indian Inst. of Inf. Technol., Allahabad, India","2012 International Symposium on Cloud and Services Computing","20130321","2012","","","80","83","Cloud computing and service oriented architecture (SOA) are the dominant computing paradigm. Since past few years Robotics applications have also started to build around these paradigms. This paper presents entrance of robotic services in SOA and cloud computing. Where a client/user can opt for the robotic services present at the cloud like navigation, map building, object recognition etc. Map-reduce computing cluster is also facilitated at the cloud to process large amount of data for the cloud robotic services. The whole system follows the Web 2.0 standard. We also reported the simulation results for service based speech controlled robots with visual programming language (VPL) of Microsoft Development Robotics Studio (MDRS) and implementation of map-reduce computing cluster in robotic cloud.","","Electronic:978-1-4673-4856-0; POD:978-1-4673-4854-6","10.1109/ISCOS.2012.24","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6481240","Cloud Computing;Cloud Robotics;Cloud Robots;Robot as a Service;Robotic Services","Cloud computing;Computational modeling;Navigation;Robot kinematics;Service-oriented architecture;Speech","cloud computing;mobile robots;pattern clustering;service-oriented architecture;speech recognition;visual programming","MDRS;Microsoft Development Robotics Studio;SOA;VPL;Web 2.0 standard;cloud computing paradigm;cloud robotic services;data processing;map-reduce computing cluster;service oriented architecture;service-based speech controlled robots;visual programming language","","6","","14","","","17-18 Dec. 2012","","IEEE","IEEE Conference Publications"
"Cloud computing in intelligent robotics","I. J. Rudas","&#x00D3;buda University, B&#x00E9;csi &#x00FA;t 96/B, H-1034 Budapest, Hungary","2012 IEEE 10th Jubilee International Symposium on Intelligent Systems and Informatics","20121025","2012","","","15","15","Summary form only given. The presentation summarizes the basics of cloud computing, namely the main idea, the definition, the cloud model composed of essential characteristics, service models and deployment models. In the second d part of the presentation the possible applications of cloud computing in robotics are outlined with special emphases to robots as a service in cloud computing. Finally some cloud robotics projects, including the European project RoboEarth are discussed.","1949-047X;1949047X","Electronic:978-1-4673-4750-1; POD:978-1-4673-4751-8; USB:978-1-4673-4749-5","10.1109/SISY.2012.6339517","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6339517","","Abstracts;Cloud computing;Computational modeling;Educational institutions;Informatics;Intelligent systems;Robots","cloud computing;control engineering computing;intelligent robots","European project RoboEarth;cloud computing;cloud model;cloud robotics projects;deployment models;intelligent robotics;robots as a service;service models","","2","","","","","20-22 Sept. 2012","","IEEE","IEEE Conference Publications"
"A Cloud Computing Environment for Supporting Networked Robotics Applications","L. Agostinho; L. Olivi; G. Feliciano; F. Paolieri; D. Rodrigues; E. Cardozo; E. Guimaraes","Sch. of Electr. &amp; Comput. Eng., State Univ. of Campinas, Campinas, Brazil","2011 IEEE Ninth International Conference on Dependable, Autonomic and Secure Computing","20120102","2011","","","1110","1116","This paper presents the design, implementation, and evaluation of a cloud computing environment for networked robotics. The environment aims to support distributed robotics applications that require large shares of computing resources and very low communication delays. Networked robotics applications are built above these services and run on virtualized environments deployed on processing nodes directly connected to the robotic resources manipulated by the applications. The cloud computing environment offers the REALabs platform according to the Platform as a Service (PaaS) model of cloud computing. Also, we show an approach to evaluate robotic experiments by submitting tasks in a workflow cloud system.","","Electronic:978-0-7695-4612-4; POD:978-1-4673-0006-3","10.1109/DASC.2011.181","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6118734","Cloud Computing;Cloud Robotics;Cloud Workflow;Networked Robotics;Platform as a Service","Cloud computing;Protocols;Quality of service;Robot sensing systems;Servers","cloud computing;control engineering computing;robots","PaaS model;REALabs platform;cloud computing;communication delay;distributed robotics application;networked robotics;platform as a service;workflow cloud system","","5","","19","","","12-14 Dec. 2011","","IEEE","IEEE Conference Publications"
"Cloud computing and its effects on healthcare, robotics, and piracy","F. Abidi","Faculty of Engineering and Technology, Jamia Millia Islamia University, New Delhi, India","2011 World Congress on Sustainable Technologies (WCST)","20111229","2011","","","135","140","Cloud computing, in spite of a few issues associated with it, is being proposed as the panacea of many IT challenges. The various delivery models of it provide a unique way of sharing resources which was never the case before. The adoption of the various delivery models will in turn help in reducing piracy levels. The health industry which, at present, is plagued by issues like high cost etc is bound to benefit the most. The robotics industry as well can make use of cloud computing in making the robots cheaper, faster, and lighter.","","Electronic:978-0-9564263-4-5; POD:978-1-4577-1311-8","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6114210","","Computers;Irrigation;Robots","cloud computing;computer crime;health care;resource allocation;robots","cloud computing;health industry;healthcare;piracy;resource sharing;robotics industry","","1","","11","","","7-10 Nov. 2011","","IEEE","IEEE Conference Publications"
