"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7492744,7279535,7129299,7101633,7097194,6840196,6256260,6225359,6215759,6129046,5653660,5570010,5509469,7877182,7841487,7832130,7828856,7818728,7813429,7403967,7815054,7808098,7750610,7784040,7764391,7744365,7583017,7578487,7467436,7560952,7556193,7482658,7495388,7486690,7434427,7390563,7371633,7373467,7340044,7329648,7301653,7294140,7279524,7279332,7271354,7244585,7208265,7161824,7161832,7159519,7151907,7151926,7124626,7111555,7102233,7090603,7052418,7006734,7058453,7020689,6996193,6924484,6913971,6907395,6848746,6840176,6803195,6719704,6705424,6669006,6492470,6488073,6481240,6480950,6413563,6392580,6389225,6339517,6145653,6257116,6224781,6176587,6177109,6114210,5741377,5636419,4732159,7583767,7057679,6957144,7804511,7764361,7757056,7601521,7583061,7582638,7560551,7560548,7519559,7456674,7401457,7377858,7282220,7261090,7238032,7208269,7086960,7086812,7045288,7044997,7016584,7013196,6998774,6913248,6914128,6909338,6878716,6867530,6802619,6742803,6724113,6705163,6690826,6642919,6633897,6272891,6261018,6249901,6249904,6245736,6173511,6137532,6120137,6083632,6031169,5967459,5719709,5491203,5286166,5195324,7892444,7890304,7889324,7889276,7881799,7880361,7881389,7876208,7546861,7501894,7867355,7868326,7868328,7866470,7858534,7849551,7849385,7844811,7845277,7848020,7844021,7847108,7832061,7830719,7832872,7819179,7813213,7816822,7816824,7802515,7798591,7798592,7800001,7801596,7780259,7795399,7793638,7793378,7792930,7790233,7790261,7790235,7790237,7790303,7790231,7790228,7784091,7777909,7776604,7776602,7774942,7776601,7774703,7776598,7776606,7776599,7757096,7757139,7757076,7757142,7763386,7757067,7759816,7759183,7760742,7761098,7759337,7755422,7743442,7746367,7745147,7737546,7733661,7734049,7731693,7725000,7718216,7592093,7582999,7579767,7580812,7575205,7575289,7575839,7573157,7568961,7350228,7561390,7562713,7558510,7557399,7551588,7549316,7548853,7550873,7548876,7551610,7552183,7545305,7545923,7545898,7545916,7542934,7537067,7536499,7538313,7529525,7529965,7530061,7529571,7521103,7523582,7519246,7516385,7516130,7508099,7502559,7498096,7496175,7497838,7214266,7487749,7487342,7487738,7484196,7474725,7473389,7470948,7165664,7462548,7454548,7451838,7447641,7441027,7432173,7427867,7423023,7423280,7424204,7424450,7418771,7413855,7418809,7404662,7402311,7402060,7399162,7396543,7398709,7391355,7384376,7382326,7378609,7380576,7372682,7366942,7371481,7373215,7371523,7371478,7371488,7371474,7367414,7366831,7363582,7365005,7354019,7354021,7354254,7354250,7354018,7271006,7342621,7345390,7342639,7333648,7329755,7330665,7325398,7325508,7314695,7310768,7307789,7301582,7298019,7298089,7295892,7281991,7279523,7284031,7277244,7273442,7251449,7248088,7231008,7226703,7219724,7224817,7226691,7225615,7219710,7226690,7218570,7214136,7210475,7210423,7196507,7193238,7175757,7175773,7175819,7175744,7169853,7166057,7166229,7163769,7159512,7160575,7150798,7148524,7129438,7124783,7127391,7116844,7113473,7114484,7107254,7096181,7090590,7092923,7083971,7087296,7079270,7015601,7057681,6853392,7055942,7060735,7014315,7073411,7065585,7065042,7062509,7059670,7060081,7057438,7053321,7051787,7048870,7045722,7044989,7044103,7042718,7037737,7037233,7037232,7033055,7034802,7030597,7031107,7028032,7028182,7027599,7026289,7024620,7018606,7019292,7017644,7015925,7005212,7002408,6997572,6994118,6981542,6976251,6973743,6972553,6973655,6969503,6973581,6973810,6973616,6968367,6966964,6955306,6949344,6945686,6942764,6933461,6927661,6921886,6917443,6918175,6914691,6907211,6910516,6907157,6907168,6903144,6876953,6869142,6869141,6868422,6867562,6857834,6847831,6846922,6842275,6837656,6834956,6830910,6829985,6824650,6825021,6822423,6803166,6803127,6798870,6776008,6766552,6758591,6755280,6756054,6756877,6740256,6645373,6726227,6726744,6728883,6722575,6724524,6719282,6716400,6701466,6705399,6696040,6697184,6700526,6691569,6685385,6686243,6680030,6682102,6664259,6664574,6664573,6664265,6664270,6664326,6664320,6664292,6664576,6664567,6650415,6643315,6637176,6631180,6630612,6629942,6629655,6617612,6603648,6595978,6574680,6569083,6567422,6553932,6550259,6550519,6524399,6513442,6494498,6491284,6459717,6427281,6424962,6375774,6417614,6419529,6398208,6386393,6386768,6379702,6378352,6379903,6376536,6359111,6354613,6343054,6341411,6320742,6301182,6296063,6296066,6270756,6269471,6263815,6263819,6261020,6258444,6257275,6228986,6215740,6215727,6201212,6200718,6201213,6197123,6197619,6189939,6184849,6185343,6164436,6151526,6147465,6139100,6123523,6119642,6118734,6114927,6079428,6056772,6045021,6045151,5976161,5967535,5961968,5928677,5928699,5936565,5778042,5741430,5739270,5509197,5174204,4813878,1507419,576280,7880273,7878182,7866710,7858181,7849607,7791813,7777933,7776559,7695005,7577597,7560860,7555089,7545111,7519367,7515595,7509362,7507337,7468880,7453770,7449653,7444021,7373856,7339250,7250200,7155783,7152194,7133056,7062780,7036461,7021006,7016003,7010193,6998248,6926414,6918779,6900664,6893957,6840034,6808551,6757875,6707153,6664651,6653264,6648898,6643813,6575231,6554165,6530283,6353470,6295472,6223663,6141704,6107961,5966623,5928657,5743366,5731570,5631785",4/22/17 12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
The non-technical issues with autonomous vehicles,I. Kouatli,Lebanese American University-ITOM department,2015 International Conference on Connected Vehicles and Expo (ICCVE),20160407,2015,,,52,53,"Autonomous vehicles (AV) are an excellent concept with many benefits in terms of lowering the number of accidents and serving as a convenient and cost effective in the future. Some manufacturers started testing such products in a trial environment. This paper discusses issues related to the release of AV commercially in the market. Issues are related to business, insurance, and traffic implications, cloud computing usage as well as privacy and security issues. The objective of this digest paper is to highlight these issues in order to put an efficient strategy before commercial release of such a beneficial product.",,Electronic:978-1-5090-0264-1; POD:978-1-5090-0265-8,10.1109/ICCVE.2015.15,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7447641,Autonomous Vehicles;Issues of AV commercial release;V2V,Automobiles;Autonomous automobiles;Cloud computing;Insurance;Privacy;Security,automobiles;data privacy;mobile robots;road traffic;security of data,AV;V2V;autonomous vehicles;cloud computing usage;nontechnical issues;privacy issue;security issue;traffic implications,,,,4,,,19-23 Oct. 2015,,IEEE,IEEE Conference Publications
A new ubiquitous information agent system for cloud computing - Example on GPS and Bluetooth techniques in Google Android platform,S. Y. Yang; Dong-Liang Lee; Kune-Yao Chen,"Dept. of Computer and Communication Engineering, St. John's University, Taipei, Taiwan",2011 International Conference on Electric Information and Control Engineering,20110527,2011,,,1929,1932,This paper preliminarily proposed a new ubiquitous information agent system with the GPS and Bluetooth techniques in the Google Android platform and related interaction diagrams with OntoIAS in cloud computing environments. The system prototype can also reveal the feasibility of the system architecture proposed in this paper.,,Electronic:978-1-4244-8039-5; POD:978-1-4244-8036-4,10.1109/ICEICE.2011.5778042,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5778042,Bluetooth;Cloud Computing;GPS;Ontology;Ubiquitous Information Agent systems,Bluetooth;Cloud computing;Databases;Global Positioning System;Humanoid robots;Ontologies;Prototypes,Bluetooth;Global Positioning System;cloud computing;ontologies (artificial intelligence);software agents;ubiquitous computing,Bluetooth technique;GPS;Google Android platform;OntoIAS;cloud computing;interaction diagram;ubiquitous information agent system,,3,,14,,,15-17 April 2011,,IEEE,IEEE Conference Publications
Internet of Things: Remote Patient Monitoring Using Web Services and Cloud Computing,J. Mohammed; C. H. Lung; A. Ocneanu; A. Thakral; C. Jones; A. Adler,"Dept. of Syst. & Comput. Eng., Carleton Univ., Ottawa, ON, Canada","2014 IEEE International Conference on Internet of Things (iThings), and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom)",20150316,2014,,,256,263,"The focus on this paper is to build an Android platform based mobile application for the healthcare domain, which uses the idea of Internet of Things (IoT) and cloud computing. We have built an application called 'ECG Android App' which provides the end user with visualization of their Electro Cardiogram (ECG) waves and data logging functionality in the background. The logged data can be uploaded to the user's private centralized cloud or a specific medical cloud, which keeps a record of all the monitored data and can be retrieved for analysis by the medical personnel. Though the idea of building a medical application using IoT and cloud techniques is not totally new, there is a lack of empirical studies in building such a system. This paper reviews the fundamental concepts of IoT. Further, the paper presents an infrastructure for the healthcare domain, which consists of various technologies: IOIO microcontroller, signal processing, communication protocols, secure and efficient mechanisms for large file transfer, data base management system, and the centralized cloud. The paper emphasizes on the system and software architecture and design which is essential to overall IoT and cloud based medical applications. The infrastructure presented in the paper can also be applied to other healthcare domains. It concludes with recommendations and extensibilities found for the solution in the healthcare domain.",,Electronic:978-1-4799-5967-9; POD:978-1-4799-5968-6,10.1109/iThings.2014.45,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7059670,Internet of Things;cloud computing;healthcare applications;system and software infrastructure,Androids;Electrocardiography;Humanoid robots;Medical services;Mobile communication;Mobile handsets;Servers,Internet of Things;Web services;cloud computing;data loggers;data privacy;data visualisation;electrocardiography;health care;medical signal processing;patient monitoring;smart phones;software architecture;telemedicine,Android platform;ECG Android app;ECG waves visualization;IOIO microcontroller;Internet of Things;IoT;Web services;cloud based medical applications;cloud computing;cloud techniques;communication protocols;data base management system;data logging functionality;electro cardiogram waves visualization;file transfer;healthcare domain;medical cloud;medical personnel;mobile application;monitored data records;remote patient monitoring;signal processing;software architecture;user private centralized cloud,,5,,9,,,1-3 Sept. 2014,,IEEE,IEEE Conference Publications
Sensor cloud: SmartComponent framework for reconfigurable diagnostics in intelligent manufacturing environments,L. Neto; J. Reis; D. GuimarÃ£es; G. GonÃ§alves,"Institute for Systems and Robotics, Faculty of Engineering of University of Porto, Porto, Portugal",2015 IEEE 13th International Conference on Industrial Informatics (INDIN),20151001,2015,,,1706,1711,"Sensor networks that consist of a variety of sensor nodes, with capability for distributed storage and analysis, interoperable and delay-tolerant communication, will pave the way for a truly scalable network of sensors which will support adaptable plug-and-produce assembly stations. The concept of Sensor Cloud has emerged as the cornerstone for enabling the integration of nearly real time data sources into Service Oriented Architectures and as one of the enablers for Reconfigurable Manufacturing Systems. Hitherto there are still some challenges that need to be tackled, namely the on-the-fly instantiation and update of services at the system level and the dynamic (re)organization of the services created. This paper presents the first steps in the development of a framework (taking advantage of several technologies like UPnP, OSGi and iPOJO) to address these challenges and make Sensor Clouds a reality in the shop floor. The results from the first implementation reveal that the performance of the system is linear in terms of scalability, and from these scalability tests, we proved the framework's robustness and consistent responsiveness.",1935-4576;19354576,Electronic:978-1-4799-6649-3; POD:978-1-4799-6650-9; USB:978-1-4799-6648-6,10.1109/INDIN.2015.7281991,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281991,,Computer architecture;Context;Manufacturing systems;Monitoring;Robot sensing systems;Scalability;Software,cloud computing;fault diagnosis;intelligent manufacturing systems;production engineering computing,SmartComponent framework;intelligent manufacturing environments;reconfigurable diagnostics;reconfigurable manufacturing systems;scalability tests;sensor cloud concept;sensor networks;service oriented architecture;shop floor,,1,,15,,,22-24 July 2015,,IEEE,IEEE Conference Publications
Bookshelf,,,Computer,20110317,2011,44,3,83,83,Experts believe cloud computing is reshaping information technology and the IT marketplace.,0018-9162;00189162,,10.1109/MC.2011.75,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5731570,AI;cloud computing;platform games;robots,,,,,0,,,,,Mar-11,,IEEE,IEEE Journals & Magazines
A Framework for Energy-Optimal Cloud Robotic System under MIMO Wireless Channel,W. Sun; J. Xu; Q. Liang; Y. Lv,"Coll. of Electr. & Inf. Eng., Hunan Univ., Changsha, China",2015 International Conference on Computer Science and Mechanical Automation (CSMA),20160107,2015,,,113,118,"The advances of cloud computing and robot enable the cloud robotics become a newly emerging research hotspot of intelligent automobile robot. Lots of technical challenges of cloud robotics remain to be worked out. For example, the computation challenges, the communication challenges, and the security challenges. In this paper we intend to design an optimal execution framework for the cloud robotics under MIMO (multiple-input multiple-output) wireless channel model, which aims to minimize the energy consumption of the robot and extend the battery lifetime. The model of the energy consumption for cloud execution is derived, and the problem of optimization is analyzed during the process. Additionally, a model and optimization of the standalone execution by robot are proposed. Based on the models, we provide a theoretical framework, which decide whether to offloading task. Finally, the numerical results illustrate that the framework is significant for minimizing the energy consumption of robot.",,Electronic:978-1-4673-9166-5; POD:978-1-4673-9167-2,10.1109/CSMA.2015.29,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371633,Cloud Robotics;MIMO;Offloading Task;Optimal Energy Consumption,Cloud computing;Computational modeling;Energy consumption;MIMO;Optimization;Receivers;Robots,MIMO communication;cloud computing;intelligent robots;mobile robots;optimisation;power aware computing;wireless channels,MIMO wireless channel;battery lifetime extension;cloud computing;energy consumption minimization;energy-optimal cloud robotic system;intelligent automobile robot;multiple input multiple output wireless channel model,,,,20,,,23-25 Oct. 2015,,IEEE,IEEE Conference Publications
Multi-agent trajectory tracking with self-triggered cloud access,A. Adaldo; D. Liuzza; D. V. Dimarogonas; K. H. Johansson,"Department of Automatic Control and ACCESS Linnaeus Center, School of Electrical Engineering, KTH Royal Institute of Technology, Osquldas v&#x00E4;g 10, 10044, Stockholm, Sweden",2016 IEEE 55th Conference on Decision and Control (CDC),20161229,2016,,,2207,2214,"This paper presents a cloud-supported control algorithm for coordinated trajectory tracking of networked autonomous agents. The motivating application is the coordinated control of Autonomous Underwater Vehicles. The control objective is to have the vehicles track a reference trajectory while keeping an assigned formation. Rather than relying on inter-agent communication, which is interdicted underwater, coordination is achieved by letting the agents intermittently access a shared information repository hosted on a cloud. An event-based law is proposed to schedule the accesses of each agent to the cloud. We show that, with the proposed scheduling of the cloud accesses, the agents achieve the required coordination objective. Numerical simulations corroborate the theoretical results.",,DVD:978-1-5090-1844-4; Electronic:978-1-5090-1837-6; POD:978-1-5090-1838-3,10.1109/CDC.2016.7798591,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7798591,,Laplace equations;Multi-agent systems;Nickel;Schedules;Trajectory;Trajectory tracking;Vehicles,autonomous underwater vehicles;cloud computing;control engineering computing;mobile robots;multi-robot systems;numerical analysis;trajectory control,autonomous underwater vehicles;cloud-supported control algorithm;coordinated trajectory tracking;inter-agent communication;multiagent trajectory tracking;networked autonomous agents;numerical simulations;reference trajectory;self-triggered cloud access,,,,,,,12-14 Dec. 2016,,IEEE,IEEE Conference Publications
E-health decision support system for differential diagnosis,R. Cucu; C. Avram; A. Astilean; I. G. FÄƒrcaÅŸ; J. Machado,"Katholieke Univ. Leuven, Brussels, Belgium","2014 IEEE International Conference on Automation, Quality and Testing, Robotics",20140717,2014,,,1,6,"A new experimental system, capable to use the combined facilities offered by mobile communications, cloud computing and artificial intelligence, to assist the professional formation and specialization of medical staff and to offer up to date information for differential diagnosis, is proposed. To demonstrate the feasibility of the proposed approach, a proof-of-concept system was developed. An application in which two expert systems are used for the differential diagnosis of hypertension is presented. These systems aim to facilitate the diagnosis process of primary, endocrine and renal hypertension. A Naive Bayes Classifier and a Fuzzy Inference System were designed and implemented in order to differentiate the presented types of hypertension. The application was designed based on the client-server architecture, using Cloud Computing techniques and Android programming. The system take as inputs the preliminary medical information and investigation results that are sent from the Android client and outputs the precise risk of having a certain type of hypertension.",,Electronic:978-1-4799-3732-5; POD:978-1-4799-3733-2; USB:978-1-4799-3730-1,10.1109/AQTR.2014.6857834,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6857834,Cloud Computing;E-health;Expert System;Fuzzy Logic;Hypertension;Naive Bayes Classifier;mobile communication,Androids;Cloud computing;Expert systems;Fuzzy logic;Humanoid robots;Hypertension;Medical diagnostic imaging,Android (operating system);Bayes methods;client-server systems;cloud computing;decision support systems;expert systems;fuzzy reasoning;medical information systems;mobile computing;patient diagnosis;pattern classification,Android client;Android programming;artificial intelligence;client-server architecture;cloud computing;differential diagnosis;e-health decision support system;endocrine hypertension;experimental system;expert systems;fuzzy inference system;medical staff specialization;mobile communications;naive Bayes classifier;primary hypertension;professional formation;proof-of-concept system;renal hypertension,,1,,27,,,22-24 May 2014,,IEEE,IEEE Conference Publications
Mobile robot motion planning based on Cloud Computing stereo vision processing,J. Salmeron-Garcia; P. Inigo-Blasco; F. Diaz-del-Rio; D. Cagigas-Muniz,,ISR/Robotik 2014; 41st International Symposium on Robotics,20140624,2014,,,1,6,"Nowadays, the limitations of robot embedded hardware (which cannot be upgraded easily) make difficult to perform computationally complex tasks such as those of high level artificial vision. However, instead of disposing these ""out-dated"" embedded systems, Cloud technologies for computation offloading can be used. In this paper we present and analyze an example of computation offloading in the context of artifical vision: point cloud extraction for stereo images. A prototype prepared for exploiting the cloud's unique capabilities (such as elasticity) has been developed, and the inherent issues that appears are explained and addressed.",,Paper:978-3-8007-3601-0,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6840196,,,,,,0,,,,,2-3 June 2014,,VDE,VDE Conference Publications
Cloud robotics: A software architecture: For heterogeneous large-scale autonomous robots,S. A. Miratabzadeh; N. Gallardo; N. Gamez; K. Haradi; A. R. Puthussery; P. Rad; M. Jamshidi,"Electrical and Computer Engineering Department, University of Texas at San Antonio, Open Cloud Institute, USA",2016 World Automation Congress (WAC),20161006,2016,,,1,6,"The paper proposes a software architecture for cloud robotics which intends three subsystems in the cloud environment: Middleware Subsystem, Background Tasks Subsystem, and Control Subsystem. The architecture invokes cloud technologies such as cloud computing, cloud storage, and other networking platforms arranged on the assistances of congregated infrastructure and shared services for robotics, for instance Robot Operating System (ROS). Since the architecture is looking for reliable, scalable, and distributed system for the heterogeneous large-scale autonomous robots, Infrastructure as a Service (IaaS) is chosen among the cloud services. Three major tasks can be handled by the proposed software architecture Computing, Storage, and Networking. Hadoop-MapReduce provides the appropriate framework in the cloud environment to process and handle these tasks.",,,10.1109/WAC.2016.7583017,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7583017,Hadoop-MapReduce;Robot Operating System (ROS);cloud robotics;heterogeneous system;large-scale autonomous,Cloud computing;Computer architecture;Robot sensing systems;Service robots,cloud computing;control engineering computing;middleware;mobile robots;software architecture,Hadoop-MapReduce;IaaS;background tasks subsystem;cloud computing;cloud robotics;cloud service;cloud storage;cloud technology;control subsystem;heterogeneous large-scale autonomous robots;infrastructure as a service;middleware subsystem;robot operating system;software architecture,,,,,,,July 31 2016-Aug. 4 2016,,IEEE,IEEE Conference Publications
